Station,Line,First_Train,Last_Train,Days
Al Aziziyah,Gold,05:34,01:01,Saturday - Thursday
Al Aziziyah,Gold,09:30,01:01,Friday
Al Bidda,Green,05:34,01:01,Saturday - Thursday
Al Bidda,Green,09:36,01:01,Friday
Al Bidda,Red,05:37,01:10,Saturday - Thursday
Al Bidda,Red,09:37,01:10,Friday
Al Doha Al Jadeda,Red,05:32,01:06,Saturday - Thursday
Al Doha Al Jadeda,Red,09:05,01:06,Friday
Al Khayl Street,Orange,05:52,00:45,Saturday - Thursday
Al Khayl Street,Orange,14:52,00:45,Friday
Al Khayl Street,Turquoise,05:46,00:45,Saturday - Thursday
Al Khayl Street,Turquoise,14:46,00:45,Friday
Al Mansoura,Green,05:30,01:01,Saturday - Thursday
Al Mansoura,Green,09:30,01:01,Friday
Al Matar Al Qadeem,Red,05:40,01:02,Saturday - Thursday
Al Matar Al Qadeem,Red,09:40,01:02,Friday
Al Messila,Green,05:41,01:01,Saturday - Thursday
Al Messila,Green,09:42,01:01,Friday
Al Qassar,Red,05:47,01:21,Saturday - Thursday
Al Qassar,Red,09:47,01:21,Friday
Al Rayyan Al Qadeem,Green,05:44,01:01,Saturday - Thursday
Al Rayyan Al Qadeem,Green,09:45,01:01,Friday
Al Riffa Mall of Qatar,Green,05:30,01:01,Saturday - Thursday
Al Riffa Mall of Qatar,Green,09:30,01:01,Friday
Al Sadd,Gold,05:45,01:01,Saturday - Thursday
Al Sadd,Gold,09:40,01:01,Friday
Al Shaqab,Green,05:46,01:01,Saturday - Thursday
Al Shaqab,Green,09:47,01:01,Friday
Al Sudan,Gold,05:41,01:01,Saturday - Thursday
Al Sudan,Gold,09:36,01:01,Friday
Al Waab QLM,Gold,05:38,01:01,Saturday - Thursday
Al Waab QLM,Gold,09:34,01:01,Friday
Al Wakra,Red,05:30,00:51,Saturday - Thursday
Al Wakra,Red,09:30,00:51,Friday
Al Wessil,Orange,05:50,00:45,Saturday - Thursday
Al Wessil,Orange,14:50,00:45,Friday
Al Yasmeen,Orange,05:45,00:45,Saturday - Thursday
Al Yasmeen,Orange,14:45,00:45,Friday
Al Yasmeen,Turquoise,05:38,00:45,Saturday - Thursday
Al Yasmeen,Turquoise,14:38,00:45,Friday
Bin Mahmoud,Gold,05:46,01:01,Saturday - Thursday
Bin Mahmoud,Gold,09:42,01:01,Friday
Corniche,Red,05:40,01:13,Saturday - Thursday
Corniche,Red,09:40,01:13,Friday
Crescent Park North,Orange,05:55,00:45,Saturday - Thursday
Crescent Park North,Orange,14:55,00:45,Friday
Crescent Park North,Turquoise,05:49,00:45,Saturday - Thursday
Crescent Park North,Turquoise,14:49,00:45,Friday
DECC,Red,05:43,01:17,Saturday - Thursday
DECC,Red,09:43,01:17,Friday
Downtown Lusail,Orange,05:50,00:45,Saturday - Thursday
Downtown Lusail,Orange,14:50,00:45,Friday
Downtown Lusail,Turquoise,05:44,00:45,Saturday - Thursday
Downtown Lusail,Turquoise,14:44,00:45,Friday
Education City,Green,05:51,01:01,Saturday - Thursday
Education City,Green,09:52,01:01,Friday
Erkiyah,Orange,05:37,00:45,Saturday - Thursday
Erkiyah,Orange,14:37,00:45,Friday
Erkiyah,Turquoise,05:55,00:45,Saturday - Thursday
Erkiyah,Turquoise,14:55,00:45,Friday
Fox Hills North,Orange,05:54,00:45,Saturday - Thursday
Fox Hills North,Orange,14:54,00:45,Friday
Fox Hills North,Turquoise,05:48,00:45,Saturday - Thursday
Fox Hills North,Turquoise,14:48,00:45,Friday
Fox Hills South,Orange,05:48,00:45,Saturday - Thursday
Fox Hills South,Orange,14:48,00:45,Friday
Fox Hills South,Turquoise,05:42,00:45,Saturday - Thursday
Fox Hills South,Turquoise,14:42,00:45,Friday
Free Zone,Red,05:35,00:56,Saturday - Thursday
Free Zone,Red,09:35,00:56,Friday
